,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
112,Algeria,Mangrove,1992,40000,89,1215.47,16.27
113,Algeria,Lime,1992,9939,89,1215.47,16.27
114,Algeria,Pine,1993,12500,89,1021.89,17
115,Algeria,Plywood,1993,111215,89,1021.89,17
116,Algeria,Birch,1993,23111,89,1021.89,17
117,Algeria,Mangrove,1993,50000,89,1021.89,17
118,Algeria,Lime,1993,8097,89,1021.89,17
119,Algeria,Pine,1994,4512,89,1255.02,17.88
120,Algeria,Plywood,1994,95078,89,1255.02,17.88
121,Algeria,Birch,1994,21374,89,1255.02,17.88
122,Algeria,Lime,1994,7999,89,1255.02,17.88
123,Algeria,Pine,1995,16115,89,2697.09,17.36
124,Algeria,Plywood,1995,136768,89,2697.09,17.36
125,Algeria,Birch,1995,19598,89,2697.09,17.36
126,Algeria,Mangrove,1995,12667,89,2697.09,17.36
127,Algeria,Lime,1995,8924,89,2697.09,17.36
128,Algeria,Pine,1996,17154,89,479.77,16.76
129,Algeria,Plywood,1996,134629,89,479.77,16.76
130,Algeria,Birch,1996,17861,89,479.77,16.76
131,Algeria,Mangrove,1996,14750,89,479.77,16.76
132,Algeria,Lime,1996,13090,89,479.77,16.76
133,Algeria,Pine,1997,21417,89,401.22,17.84
134,Algeria,Plywood,1997,141042,89,401.22,17.84
135,Algeria,Birch,1997,15000,89,401.22,17.84
136,Algeria,Mangrove,1997,40000,89,401.22,17.84
137,Algeria,Lime,1997,8016,89,401.22,17.84
138,Algeria,Pine,1998,17222,89,322.84,17.14
139,Algeria,Plywood,1998,160256,89,322.84,17.14
140,Algeria,Birch,1998,15000,89,322.84,17.14
141,Algeria,Mangrove,1998,24500,89,322.84,17.14
142,Algeria,Lime,1998,8847,89,322.84,17.14
143,Algeria,Pine,1999,22375,89,654.45,17.97
144,Algeria,Plywood,1999,153532,89,654.45,17.97
145,Algeria,Birch,1999,13942,89,654.45,17.97
146,Algeria,Mangrove,1999,27000,89,654.45,17.97
147,Algeria,Lime,1999,10711,89,654.45,17.97
148,Algeria,Pine,2000,36186,89,603.67,17.9
149,Algeria,Plywood,2000,166143,89,603.67,17.9
150,Algeria,Birch,2000,13052,89,603.67,17.9
151,Algeria,Mangrove,2000,69500,89,603.67,17.9
152,Algeria,Lime,2000,9194,89,603.67,17.9
153,Algeria,Pine,2001,27175,89,710.11,18.13
154,Algeria,Plywood,2001,147018,89,710.11,18.13
155,Algeria,Birch,2001,12314,89,710.11,18.13
156,Algeria,Mangrove,2001,27750,89,710.11,18.13
157,Algeria,Lime,2001,11104,89,710.11,18.13
158,Algeria,Pine,2002,33480,89,816.55,17.85
159,Algeria,Plywood,2002,183774,89,816.55,17.85
160,Algeria,Birch,2002,12959,89,816.55,17.85
161,Algeria,Mangrove,2002,33900,89,816.55,17.85
162,Algeria,Lime,2002,10739,89,816.55,17.85
163,Algeria,Pine,2004,31729,89,3747.86,17.38
164,Algeria,Plywood,2004,203585,89,3747.86,17.38
165,Algeria,Birch,2004,12829,89,3747.86,17.38
166,Algeria,Mangrove,2004,43316,89,3747.86,17.38
167,Algeria,Lime,2004,13582,89,3747.86,17.38
168,Algeria,Pine,2005,33864,89,3662.87,17.19
169,Algeria,Plywood,2005,216267,89,3662.87,17.19
170,Algeria,Birch,2005,12998,89,3662.87,17.19
171,Algeria,Mangrove,2005,33486,89,3662.87,17.19
172,Algeria,Lime,2005,15057,89,3662.87,17.19
173,Algeria,Pine,2006,65668,89,4110.72,18.13
174,Algeria,Plywood,2006,220689,89,4110.72,18.13
175,Algeria,Birch,2006,12769,89,4110.72,18.13
176,Algeria,Mangrove,2006,56728,89,4110.72,18.13
177,Algeria,Lime,2006,15068,89,4110.72,18.13
178,Algeria,Pine,2007,85625,89,5390.79,17.42
179,Algeria,Plywood,2007,189927,89,5390.79,17.42
180,Algeria,Birch,2007,13375,89,5390.79,17.42
181,Algeria,Mangrove,2007,119059,89,5390.79,17.42
182,Algeria,Lime,2007,12742,89,5390.79,17.42
183,Algeria,Pine,2008,44714,89,11556.12,17.55
184,Algeria,Plywood,2008,236393,89,11556.12,17.55
185,Algeria,Birch,2008,13952,89,11556.12,17.55
186,Algeria,Mangrove,2008,61786,89,11556.12,17.55
187,Algeria,Lime,2008,11038,89,11556.12,17.55
188,Algeria,Pine,2009,30914,89,3867.99,17.78
189,Algeria,Plywood,2009,250764,89,3867.99,17.78
190,Algeria,Birch,2009,14594,89,3867.99,17.78
191,Algeria,Mangrove,2009,90465,89,3867.99,17.78
192,Algeria,Lime,2009,15975,89,3867.99,17.78
193,Algeria,Pine,2010,25827,89,1295.88,17.59
194,Algeria,Plywood,2010,270526,89,1295.88,17.59
195,Algeria,Birch,2010,15305,89,1295.88,17.59
196,Algeria,Mangrove,2010,30286,89,1295.88,17.59
197,Algeria,Lime,2010,14838,89,1295.88,17.59
198,Algeria,Pine,2011,23374,89,13861.76,17.79
199,Algeria,Plywood,2011,292806,89,13861.76,17.79
200,Algeria,Birch,2011,16081,89,13861.76,17.79
201,Algeria,Mangrove,2011,100000,89,13861.76,17.79
202,Algeria,Lime,2011,17405,89,13861.76,17.79
203,Algeria,Pine,2012,25583,89,17379.76,17.91
204,Algeria,Plywood,2012,304291,89,17379.76,17.91
205,Algeria,Birch,2012,16667,89,17379.76,17.91
206,Algeria,Mangrove,2012,206000,89,17379.76,17.91
207,Algeria,Lime,2012,17639,89,17379.76,17.91
208,Algeria,Pine,2013,33649,89,17278.65,17.65
209,Algeria,Plywood,2013,303218,89,17278.65,17.65
210,Algeria,Birch,2013,17778,89,17278.65,17.65
211,Algeria,Mangrove,2013,60000,89,17278.65,17.65
212,Algeria,Lime,2013,19100,89,17278.65,17.65
213,Angola,Oak,1990,41177,1010,64,24.12
214,Angola,Pine,1990,2736,1010,64,24.12
215,Angola,Plywood,1990,40000,1010,64,24.12
216,Angola,Birch,1990,9512,1010,64,24.12
217,Angola,Cedar,1990,89342,1010,64,24.12
218,Angola,Lime,1990,7995,1010,64,24.12
219,Angola,Oak,1991,40295,1010,79,24.02
220,Angola,Pine,1991,4013,1010,79,24.02
221,Angola,Plywood,1991,40000,1010,79,24.02
222,Angola,Birch,1991,10000,1010,79,24.02
223,Angola,Cedar,1991,83001,1010,79,24.02
224,Angola,Lime,1991,8000,1010,79,24.02
225,Angola,Oak,1992,42295,1010,23,23.96
226,Angola,Pine,1992,3778,1010,23,23.96
227,Angola,Plywood,1992,40000,1010,23,23.96
228,Angola,Birch,1992,9106,1010,23,23.96
229,Angola,Cedar,1992,90000,1010,23,23.96
230,Angola,Lime,1992,8000,1010,23,23.96
231,Angola,Oak,1993,42295,1010,169,24.15
232,Angola,Pine,1993,2627,1010,169,24.15
233,Angola,Plywood,1993,70000,1010,169,24.15
234,Angola,Birch,1993,8000,1010,169,24.15
235,Angola,Cedar,1993,88095,1010,169,24.15
236,Angola,Lime,1993,8876,1010,169,24.15
237,Angola,Oak,1994,58596,1010,25.5,24.04
238,Angola,Pine,1994,2463,1010,25.5,24.04
239,Angola,Plywood,1994,90000,1010,25.5,24.04
240,Angola,Birch,1994,8750,1010,25.5,24.04
241,Angola,Cedar,1994,83192,1010,25.5,24.04
242,Angola,Lime,1994,10000,1010,25.5,24.04
243,Angola,Oak,1995,51000,1010,336,24.56
244,Angola,Pine,1995,3517,1010,336,24.56
245,Angola,Plywood,1995,76738,1010,336,24.56
246,Angola,Birch,1995,14615,1010,336,24.56
247,Angola,Cedar,1995,81138,1010,336,24.56
248,Angola,Lime,1995,11855,1010,336,24.56
249,Angola,Oak,1996,48077,1010,40,24.11
250,Angola,Pine,1996,6993,1010,40,24.11
251,Angola,Plywood,1996,70000,1010,40,24.11
252,Angola,Birch,1996,17500,1010,40,24.11
253,Angola,Cedar,1996,85455,1010,40,24.11
254,Angola,Lime,1996,13738,1010,40,24.11
255,Angola,Oak,1997,44205,1010,40,24.06
256,Angola,Pine,1997,5959,1010,40,24.06
257,Angola,Plywood,1997,68571,1010,40,24.06
258,Angola,Birch,1997,20000,1010,40,24.06
259,Angola,Cedar,1997,78098,1010,40,24.06
260,Angola,Lime,1997,15509,1010,40,24.06
261,Angola,Oak,1998,55728,1010,40,24.96
262,Angola,Pine,1998,7396,1010,40,24.96
263,Angola,Plywood,1998,62724,1010,40,24.96
264,Angola,Birch,1998,20000,1010,40,24.96
265,Angola,Cedar,1998,76256,1010,40,24.96
266,Angola,Lime,1998,17143,1010,40,24.96
267,Angola,Oak,1999,59821,1010,40,24.37
268,Angola,Pine,1999,6361,1010,40,24.37
269,Angola,Plywood,1999,54597,1010,40,24.37
270,Angola,Birch,1999,14235,1010,40,24.37
271,Angola,Cedar,1999,82865,1010,40,24.37
272,Angola,Lime,1999,17391,1010,40,24.37
273,Angola,Oak,2000,82992,1010,40,24.41
274,Angola,Pine,2000,5745,1010,40,24.41
275,Angola,Plywood,2000,29885,1010,40,24.41
276,Angola,Birch,2000,13454,1010,40,24.41
277,Angola,Mangrove,2000,3333,1010,40,24.41
278,Angola,Bamboo,2000,2333,1010,40,24.41
279,Angola,Cedar,2000,34938,1010,40,24.41
280,Angola,Lime,2000,17023,1010,40,24.41
281,Angola,Oak,2001,94072,1010,40,24.43
282,Angola,Pine,2001,5754,1010,40,24.43
283,Angola,Plywood,2001,42552,1010,40,24.43
284,Angola,Birch,2001,13701,1010,40,24.43
285,Angola,Mangrove,2001,3571,1010,40,24.43
286,Angola,Bamboo,2001,2500,1010,40,24.43
287,Angola,Cedar,2001,44458,1010,40,24.43
288,Angola,Lime,2001,16667,1010,40,24.43
289,Angola,Oak,2002,110071,1010,40,24.79
290,Angola,Pine,2002,6706,1010,40,24.79
291,Angola,Plywood,2002,42754,1010,40,24.79
292,Angola,Birch,2002,13198,1010,40,24.79
293,Angola,Mangrove,2002,3400,1010,40,24.79
294,Angola,Bamboo,2002,2857,1010,40,24.79
295,Angola,Cedar,2002,42190,1010,40,24.79
296,Angola,Lime,2002,15455,1010,40,24.79
297,Angola,Oak,2004,125605,1010,40,24.22
298,Angola,Pine,2004,5404,1010,40,24.22
299,Angola,Plywood,2004,20150,1010,40,24.22
300,Angola,Birch,2004,11584,1010,40,24.22
301,Angola,Mangrove,2004,3333,1010,40,24.22
302,Angola,Bamboo,2004,3600,1010,40,24.22
303,Angola,Cedar,2004,45360,1010,40,24.22
304,Angola,Lime,2004,12442,1010,40,24.22
305,Angola,Oak,2005,117628,1010,40,24.41
306,Angola,Pine,2005,6736,1010,40,24.41
307,Angola,Plywood,2005,23646,1010,40,24.41
308,Angola,Birch,2005,6977,1010,40,24.41
309,Angola,Mangrove,2005,3333,1010,40,24.41
310,Angola,Bamboo,2005,3793,1010,40,24.41
311,Angola,Cedar,2005,46159,1010,40,24.41
312,Angola,Lime,2005,10946,1010,40,24.41
313,Angola,Oak,2006,117201,1010,40,24.14
314,Angola,Pine,2006,4687,1010,40,24.14
315,Angola,Plywood,2006,52148,1010,40,24.14
316,Angola,Birch,2006,4947,1010,40,24.14
317,Angola,Mangrove,2006,4091,1010,40,24.14
318,Angola,Bamboo,2006,4286,1010,40,24.14
319,Angola,Cedar,2006,44240,1010,40,24.14
320,Angola,Lime,2006,10000,1010,40,24.14
321,Angola,Oak,2007,115387,1010,40,24.24
322,Angola,Pine,2007,5091,1010,40,24.24
323,Angola,Plywood,2007,62138,1010,40,24.24
324,Angola,Birch,2007,5143,1010,40,24.24
325,Angola,Mangrove,2007,4031,1010,40,24.24
326,Angola,Bamboo,2007,6883,1010,40,24.24
327,Angola,Cedar,2007,58855,1010,40,24.24
328,Angola,Lime,2007,10000,1010,40,24.24
329,Angola,Oak,2008,148084,1010,40,24.27
330,Angola,Pine,2008,7946,1010,40,24.27
331,Angola,Plywood,2008,85085,1010,40,24.27
332,Angola,Birch,2008,5084,1010,40,24.27
333,Angola,Mangrove,2008,929,1010,40,24.27
334,Angola,Bamboo,2008,8575,1010,40,24.27
335,Angola,Cedar,2008,65437,1010,40,24.27
336,Angola,Lime,2008,10000,1010,40,24.27
337,Angola,Oak,2009,151759,1010,40,24.33
338,Angola,Pine,2009,6614,1010,40,24.33
339,Angola,Plywood,2009,86509,1010,40,24.33
340,Angola,Birch,2009,6028,1010,40,24.33
341,Angola,Mangrove,2009,2480,1010,40,24.33
342,Angola,Bamboo,2009,4449,1010,40,24.33
343,Angola,Cedar,2009,66475,1010,40,24.33
344,Angola,Lime,2009,10000,1010,40,24.33
345,Angola,Oak,2010,155782,1010,40,24.44
346,Angola,Pine,2010,7200,1010,40,24.44
347,Angola,Plywood,2010,87425,1010,40,24.44
348,Angola,Birch,2010,7403,1010,40,24.44
349,Angola,Mangrove,2010,2814,1010,40,24.44
350,Angola,Bamboo,2010,4446,1010,40,24.44
351,Angola,Cedar,2010,63001,1010,40,24.44
352,Angola,Lime,2010,10526,1010,40,24.44
353,Angola,Oak,2011,133649,1010,40,24.15
354,Angola,Pine,2011,7376,1010,40,24.15
355,Angola,Plywood,2011,81366,1010,40,24.15
356,Angola,Birch,2011,8914,1010,40,24.15
357,Angola,Mangrove,2011,3320,1010,40,24.15
358,Angola,Bamboo,2011,5294,1010,40,24.15
359,Angola,Cedar,2011,65512,1010,40,24.15
360,Angola,Lime,2011,10959,1010,40,24.15
361,Angola,Oak,2012,100073,1010,40,24.24
362,Angola,Pine,2012,7770,1010,40,24.24
363,Angola,Plywood,2012,69381,1010,40,24.24
364,Angola,Birch,2012,7703,1010,40,24.24
365,Angola,Mangrove,2012,998,1010,40,24.24
366,Angola,Bamboo,2012,1641,1010,40,24.24
367,Angola,Cedar,2012,52954,1010,40,24.24
368,Angola,Lime,2012,11258,1010,40,24.24
369,Angola,Oak,2013,140517,1010,40,24.55
370,Angola,Pine,2013,9467,1010,40,24.55
371,Angola,Plywood,2013,63303,1010,40,24.55
372,Angola,Birch,2013,12744,1010,40,24.55
373,Angola,Mangrove,2013,2415,1010,40,24.55
374,Angola,Bamboo,2013,4405,1010,40,24.55
375,Angola,Cedar,2013,73409,1010,40,24.55
376,Angola,Lime,2013,9022,1010,40,24.55
377,Argentina,Oak,1990,100000,591,26156,17.46
378,Argentina,Oak,1990,100000,591,26156,17.67
379,Argentina,Pine,1990,34608,591,26156,17.46
380,Argentina,Pine,1990,34608,591,26156,17.67
381,Argentina,Plywood,1990,202747,591,26156,17.46
382,Argentina,Plywood,1990,202747,591,26156,17.67
383,Argentina,Birch,1990,36709,591,26156,17.46
384,Argentina,Birch,1990,36709,591,26156,17.67
385,Argentina,Mangrove,1990,28116,591,26156,17.46
386,Argentina,Mangrove,1990,28116,591,26156,17.67
387,Argentina,Bamboo,1990,21566,591,26156,17.46
388,Argentina,Bamboo,1990,21566,591,26156,17.67
389,Argentina,Cedar,1990,131864,591,26156,17.46
390,Argentina,Cedar,1990,131864,591,26156,17.67
391,Argentina,Lime,1990,18947,591,26156,17.46
392,Argentina,Lime,1990,18947,591,26156,17.67
393,Argentina,Oak,1991,100000,591,26156,17.64
394,Argentina,Oak,1991,100000,591,26156,17.86
395,Argentina,Pine,1991,40444,591,26156,17.64
396,Argentina,Pine,1991,40444,591,26156,17.86
397,Argentina,Plywood,1991,205692,591,26156,17.64
398,Argentina,Plywood,1991,205692,591,26156,17.86
399,Argentina,Birch,1991,40294,591,26156,17.64
400,Argentina,Birch,1991,40294,591,26156,17.86
401,Argentina,Mangrove,1991,33320,591,26156,17.64
402,Argentina,Mangrove,1991,33320,591,26156,17.86
403,Argentina,Bamboo,1991,22750,591,26156,17.64
404,Argentina,Bamboo,1991,22750,591,26156,17.86
405,Argentina,Cedar,1991,131364,591,26156,17.64
406,Argentina,Cedar,1991,131364,591,26156,17.86
407,Argentina,Lime,1991,18972,591,26156,17.64
408,Argentina,Lime,1991,18972,591,26156,17.86
409,Argentina,Oak,1992,100000,591,26156,17.09
410,Argentina,Oak,1992,100000,591,26156,17.51
411,Argentina,Pine,1992,45237,591,26156,17.09
412,Argentina,Pine,1992,45237,591,26156,17.51
413,Argentina,Plywood,1992,199039,591,26156,17.09
414,Argentina,Plywood,1992,199039,591,26156,17.51
415,Argentina,Birch,1992,52075,591,26156,17.09
416,Argentina,Birch,1992,52075,591,26156,17.51
417,Argentina,Mangrove,1992,36217,591,26156,17.09
418,Argentina,Mangrove,1992,36217,591,26156,17.51
419,Argentina,Bamboo,1992,22915,591,26156,17.09
420,Argentina,Bamboo,1992,22915,591,26156,17.51
421,Argentina,Cedar,1992,127273,591,26156,17.09
422,Argentina,Cedar,1992,127273,591,26156,17.51
423,Argentina,Lime,1992,21809,591,26156,17.09
424,Argentina,Lime,1992,21809,591,26156,17.51
425,Argentina,Oak,1993,100000,591,26156,17.32
426,Argentina,Oak,1993,100000,591,26156,17.53
427,Argentina,Pine,1993,43552,591,26156,17.32
428,Argentina,Pine,1993,43552,591,26156,17.53
429,Argentina,Plywood,1993,210314,591,26156,17.32
430,Argentina,Plywood,1993,210314,591,26156,17.53
431,Argentina,Birch,1993,43559,591,26156,17.32
432,Argentina,Birch,1993,43559,591,26156,17.53
433,Argentina,Mangrove,1993,39529,591,26156,17.32
434,Argentina,Mangrove,1993,39529,591,26156,17.53
435,Argentina,Bamboo,1993,21589,591,26156,17.32
436,Argentina,Bamboo,1993,21589,591,26156,17.53
437,Argentina,Cedar,1993,122955,591,26156,17.32
438,Argentina,Cedar,1993,122955,591,26156,17.53
439,Argentina,Lime,1993,23272,591,26156,17.32
440,Argentina,Lime,1993,23272,591,26156,17.53
441,Argentina,Oak,1994,100000,591,30195,18.17
442,Argentina,Oak,1994,100000,591,30195,18.31
443,Argentina,Pine,1994,42371,591,30195,18.17
444,Argentina,Pine,1994,42371,591,30195,18.31
445,Argentina,Plywood,1994,230166,591,30195,18.17
446,Argentina,Plywood,1994,230166,591,30195,18.31
447,Argentina,Birch,1994,42989,591,30195,18.17
448,Argentina,Birch,1994,42989,591,30195,18.31
449,Argentina,Mangrove,1994,35065,591,30195,18.17
450,Argentina,Mangrove,1994,35065,591,30195,18.31
451,Argentina,Bamboo,1994,20386,591,30195,18.17
452,Argentina,Bamboo,1994,20386,591,30195,18.31
453,Argentina,Cedar,1994,176667,591,30195,18.17
454,Argentina,Cedar,1994,176667,591,30195,18.31
455,Argentina,Lime,1994,20237,591,30195,18.17
456,Argentina,Lime,1994,20237,591,30195,18.31
457,Argentina,Oak,1995,100000,591,37842,17.74
458,Argentina,Oak,1995,100000,591,37842,17.62
459,Argentina,Pine,1995,45223,591,37842,17.74
460,Argentina,Pine,1995,45223,591,37842,17.62
461,Argentina,Plywood,1995,274272,591,37842,17.74
462,Argentina,Plywood,1995,274272,591,37842,17.62
463,Argentina,Birch,1995,50306,591,37842,17.74
464,Argentina,Birch,1995,50306,591,37842,17.62
465,Argentina,Mangrove,1995,34588,591,37842,17.74
466,Argentina,Mangrove,1995,34588,591,37842,17.62
467,Argentina,Bamboo,1995,20446,591,37842,17.74
468,Argentina,Bamboo,1995,20446,591,37842,17.62
469,Argentina,Cedar,1995,168000,591,37842,17.74
470,Argentina,Cedar,1995,168000,591,37842,17.62
471,Argentina,Lime,1995,21675,591,37842,17.74
472,Argentina,Lime,1995,21675,591,37842,17.62
473,Argentina,Oak,1996,100000,591,54595,17.64
474,Argentina,Oak,1996,100000,591,54595,17.97
475,Argentina,Pine,1996,40397,591,54595,17.64
476,Argentina,Pine,1996,40397,591,54595,17.97
477,Argentina,Plywood,1996,228877,591,54595,17.64
478,Argentina,Plywood,1996,228877,591,54595,17.97
479,Argentina,Birch,1996,51031,591,54595,17.64
480,Argentina,Birch,1996,51031,591,54595,17.97
481,Argentina,Mangrove,1996,38763,591,54595,17.64
482,Argentina,Mangrove,1996,38763,591,54595,17.97
483,Argentina,Bamboo,1996,21051,591,54595,17.64
484,Argentina,Bamboo,1996,21051,591,54595,17.97
485,Argentina,Cedar,1996,170000,591,54595,17.64
486,Argentina,Cedar,1996,170000,591,54595,17.97
487,Argentina,Lime,1996,19344,591,54595,17.64
488,Argentina,Lime,1996,19344,591,54595,17.97
489,Argentina,Oak,1997,100000,591,77691,18.29
490,Argentina,Oak,1997,100000,591,77691,18.54
491,Argentina,Pine,1997,45557,591,77691,18.29
492,Argentina,Pine,1997,45557,591,77691,18.54
493,Argentina,Plywood,1997,268502,591,77691,18.29
494,Argentina,Plywood,1997,268502,591,77691,18.54
495,Argentina,Birch,1997,53703,591,77691,18.29
496,Argentina,Birch,1997,53703,591,77691,18.54
497,Argentina,Mangrove,1997,36845,591,77691,18.29
498,Argentina,Mangrove,1997,36845,591,77691,18.54
499,Argentina,Bamboo,1997,17212,591,77691,18.29
500,Argentina,Bamboo,1997,17212,591,77691,18.54
501,Argentina,Cedar,1997,145662,591,77691,18.29
502,Argentina,Cedar,1997,145662,591,77691,18.54
503,Argentina,Lime,1997,22426,591,77691,18.29
504,Argentina,Lime,1997,22426,591,77691,18.54
505,Argentina,Oak,1998,100000,591,62397,17.23
506,Argentina,Oak,1998,100000,591,62397,17.52
507,Argentina,Pine,1998,60780,591,62397,17.23
508,Argentina,Pine,1998,60780,591,62397,17.52
509,Argentina,Plywood,1998,293744,591,62397,17.23
510,Argentina,Plywood,1998,293744,591,62397,17.52
511,Argentina,Birch,1998,47762,591,62397,17.23
512,Argentina,Birch,1998,47762,591,62397,17.52
513,Argentina,Mangrove,1998,48105,591,62397,17.23
514,Argentina,Mangrove,1998,48105,591,62397,17.52
515,Argentina,Bamboo,1998,26937,591,62397,17.23
516,Argentina,Bamboo,1998,26937,591,62397,17.52
